date,state,county,fips,cases,deaths,population,daily_cases,daily_deaths
2020-05-26,Georgia,Fulton,13121,4230,209,1021902,150,10
2020-05-26,Georgia,Gwinnett,13135,3307,125,902298,109,4
2020-05-26,Georgia,Hall,13139,2378,41,195961,51,0
2020-05-27,Georgia,Cobb,13067,2907,157,745057,53,7
2020-05-27,Georgia,DeKalb,13089,3573,111,743187,152,4
2020-05-27,Georgia,Fulton,13121,4309,214,1021902,79,5
2020-05-27,Georgia,Gwinnett,13135,3480,126,902298,173,1
2020-05-27,Georgia,Hall,13139,2422,42,195961,44,1
2020-05-28,Georgia,Cobb,13067,2948,168,745057,41,11
2020-05-28,Georgia,DeKalb,13089,3635,112,743187,62,1
2020-05-28,Georgia,Fulton,13121,4367,224,1021902,58,10
2020-05-28,Georgia,Gwinnett,13135,3619,127,902298,139,1
2020-05-28,Georgia,Hall,13139,2450,46,195961,28,4
2020-05-29,Georgia,Cobb,13067,2987,170,745057,39,2
2020-05-29,Georgia,DeKalb,13089,3718,112,743187,83,0
2020-05-29,Georgia,Fulton,13121,4490,229,1021902,123,5
2020-05-29,Georgia,Gwinnett,13135,3733,126,902298,114,-1
2020-05-29,Georgia,Hall,13139,2465,47,195961,15,1
2020-05-30,Georgia,Cobb,13067,3009,171,745057,22,1
2020-05-30,Georgia,DeKalb,13089,3731,112,743187,13,0
2020-05-30,Georgia,Fulton,13121,4507,230,1021902,17,1
2020-05-30,Georgia,Gwinnett,13135,3769,127,902298,36,1
2020-05-30,Georgia,Hall,13139,2467,47,195961,2,0
2020-05-31,Georgia,Cobb,13067,3027,175,745057,18,4
2020-05-31,Georgia,DeKalb,13089,3734,120,743187,3,8
2020-05-31,Georgia,Fulton,13121,4524,235,1021902,17,5
2020-05-31,Georgia,Gwinnett,13135,3780,128,902298,11,1
2020-05-31,Georgia,Hall,13139,2467,47,195961,0,0
2020-06-01,Georgia,Cobb,13067,3052,183,745057,25,8
2020-06-01,Georgia,DeKalb,13089,3795,121,743187,61,1
2020-06-01,Georgia,Fulton,13121,4621,241,1021902,97,6
2020-06-01,Georgia,Gwinnett,13135,3870,132,902298,90,4
2020-06-01,Georgia,Hall,13139,2507,49,195961,40,2
